Condition,Rarity,Typical Minimum Age,Typical Maximum Age,Gender,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,,,,,,,,,,
Dermatomyositis,Rare,20,70,both,Muscle weakness,Rash,Muscle pain,Difficulty swallowing,Fatigue,,,,,,,,,,,,,,,,,,,,
Dermatophytosis,Common,0,100,both,Fungal infection of the skin,hair,or nails caused by dermatophytes,,,,,,,,,,,,,,,,,,,,,,
Dermatosis Of The Scalp,Very Rare,0,100,both,Skin condition affecting the scalp,,,,,,,,,,,,,,,,,,,,,,,,
Desensitization To Allergen,Common,0,100,both,Process of reducing sensitivity or allergic response to an allergen through controlled exposure,,,,,,,,,,,,,,,,,,,,,,,,
Desmoid Tumor,Rare,20,60,both,Benign tumor that arises from connective tissue,often in the abdominal wall,,,,,,,,,,,,,,,,,,,,,,,
Diabetes Insipidus,Uncommon,0,100,both,Condition characterized by excessive thirst and excretion of large amounts of severely diluted urine,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes Mellitus,Common,0,100,both,Metabolic disorder characterized by high blood sugar levels over a prolonged period,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diarrhea,Common,0,100,both,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differentiated Thyroid Carcinoma,Uncommon,20,80,both,Lump or swelling in the neck,Difficulty swallowing,Hoarseness,Coughing,Enlarged lymph nodes in the neck,Difficulty breathing,voice changes,,,,,,,,,,,,,,,,,,
"Diffuse Large B,Cell Lymphoma",Common,20,80,both,Swollen lymph nodes,Fever,Night sweats,Weight loss,Fatigue,Easy bruising,Enlarged spleen,Easy bleeding,Enlarged liver,,,,,,,,,,,,,,,,
Diffuse Lewy Body Disease,Very rare,50,90,both,Visual hallucinations,Cognitive fluctuations (fluctuating levels of alertness),Parkinsonism (tremor,stiffness,slowness of movement),REM sleep behavior disorder (acting out dreams),Fluctuating attention and alertness,Delusions,,,,,,,,,,,,,,,,,
Diffuse Proliferative Lupus Nephritis,Rare,20,60,both,Foamy or bubbly urine,blood in urine,Swelling of the legs,ankles,feet,or around the eyes,High blood pressure,Fatigue,Joint pain,Shortness of breath,,,,,,,,,,,,,,,
Digitalis Toxicity,Rare,40,80,both,Nausea,vomiting,diarrhea,Confusion,"Visual disturbances (blurred vision, yellow, green halos around objects)",,Changes in heart rate (either too fast or too slow),Weakness or fatigue,Loss of appetite,,,,,,,,,,,,,,,,
Digitalis Toxicity By Ekg,Very rare,40,80,both,slow heart rate,Atrioventricular (AV) block,Presence of an extra heart rhythm (ectopic beats),"Changes in the T,wave","ST,segment",or QT interval on the EKG,,,,,,,,,,,,,,,,,,,
Diphtheria,Rare,0,100,both,Sore throat,fever,swollen glands,weakness,gray coating in the throat or tonsils,difficulty breathing,difficulty swallowing,,,,,,,,,,,,,,,,,,
Diphtheria Carrier State,Uncommon,0,100,both,Asymptomatic carrier state of Corynebacterium diphtheriae bacterium,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diphtheroid Prosthetic Heart Valve Endocarditis,Rare,20,70,both,Fever,chills,fatigue,shortness of breath,chest pain,Coughing,changes in heart rhythm,Elevated white blood cell count,,,,,,,,,,,,,,,,,
Diphyllobothrium Infections,Very rare,0,100,both,abdominal pain,nausea,vomiting,diarrhea,weight loss,weakness,vitamin B12 deficiency,,,,,,,,,,,,,,,,,,
Discoid Lupus Erythematosus,Common,20,60,female,Red,scaly skin,particularly on the face,ears,and scalp,sensitivity to sunlight,possible hair loss,itching,,,,,,,,,,,,,,,,,
Disruptive Behavior Disorder,Common,0,18,both,Aggressive behavior,temper tantrums,defiance,irritability,difficulty following rules or authority figures,impulsivity,,,,,,,,,,,,,,,,,,,
Disseminated Aspergillosis,Very rare,20,70,both,Fever,Coughing,chest pain,shortness of breath,headache,sinus pain,joint pain,skin lesions in severe cases,,,,,,,,,,,,,,,,,
Disseminated Blastomycosis,Very rare,20,70,both,Fever,Coughing,chest pain,shortness of breath,joint pain,muscle aches,skin lesions,weight loss,,,,,,,,,,,,,,,,,
Disseminated Candidiasis,Common,20,70,both,Fever,chills,weakness,fatigue,rash,joint pain,muscle aches,difficulty swallowing,oral thrush,,,,,,,,,,,,,,,,
Disseminated Coccidioidomycosis,Very rare,20,70,both,Fever,Coughing,chest pain,difficulty breathing,skin lesions,joint pain,fatigue,weight loss,,,,,,,,,,,,,,,,,
Disseminated Gonococcal Infection,Uncommon,20,40,both,Fever,joint pain,Rash,pain or swelling in the joints,discharge from the genitals,pain or burning during urination,,,,,,,,,,,,,,,,,,,
Disseminated Histoplasma Capsulatum Infection,Rare,20,70,both,Fever,Coughing,chest pain,difficulty breathing,fatigue,weight loss,skin lesions,enlarged lymph nodes,joint pain,Excessive bruising,,,,,,,,,,,,,,,
Disseminated Intravascular Coagulation,Rare,0,100,both,Excessive bleeding,blood clots,organ failure,fever,weakness,confusion,shortness of breath,,,,,,,,,,,,,,,,,,
Disseminated Mycobacterium Avium Complex Infection,Rare,20,70,both,Fever,night sweats,fatigue,weight loss,diarrhea,Abdominal Pain,enlarged lymph nodes,Coughing,shortness of breath,,,,,,,,,,,,,,,,
Disseminated Neonatal Herpes Simplex Infection,Very rare,0,1,both,Skin lesions,fever,irritability,poor feeding,seizures,respiratory distress,Yellowing of the skin and eyes (jaundice),lethargy,,,,,,,,,,,,,,,,,
Disseminated Sporotrichosis,Rare,20,70,both,Skin lesions,fever,fatigue,Coughing,joint pain,difficulty breathing,swollen lymph nodes,,,,,,,,,,,,,,,,,,
Disseminated Tuberculosis,Rare,20,70,both,Fever,night sweats,weight loss,fatigue,Coughing,chest pain,shortness of breath,swollen lymph nodes,Abdominal Pain,diarrhea,confusion,,,,,,,,,,,,,,
Diverticulitis Of Gastrointestinal Tract,Common,20,80,both,Abdominal Pain,tenderness,bloating,Constipation,fever,nausea,vomiting,rectal bleeding,Diarrhea,,,,,,,,,,,,,,,,
Dog Bite Wound,Uncommon,0,100,both,Pain,swelling,redness,warmth,or pus around the wound site,fever,chills,swollen lymph nodes,,,,,,,,,,,,,,,,,
"Doxorubicin,Induced Cardiomyopathy",Rare,30,70,both,Shortness of breath,fatigue,swelling of the legs or abdomen,irregular heartbeat,dizziness,fainting,chest pain,,,,,,,,,,,,,,,,,,
Dracunculiasis,Very rare,0,100,both,Painful blister or ulcer at the site of the worm,fever,nausea,vomiting,diarrhea,dizziness,weakness,,,,,,,,,,,,,,,,,,
Dog Bite Wound,Uncommon,0,100,both,Sleepiness,difficulty concentrating,impaired coordination,slowed reflexes,fatigue,,,,,,,,,,,,,,,,,,,,
"Drug,Induced Extrapyramidal Reaction",Rare,20,80,both,Muscle rigidity,tremors,"Involuntary movements such as lip,smacking or blinking",restlessness,agitation,stiffness,dystonia,,,,,,,,,,,,,,,,,,
"Drug,Induced Neutropenia",Rare,0,100,both,Fever,sore throat,mouth sores,skin infections,fatigue,weakness,chills,sweating,,,,,,,,,,,,,,,,,
"Drug,Induced Pyridoxine Deficiency",Common,0,100,both,Anemia,confusion,depression,irritability,seizures,nerve damage,skin inflammation,,,,,,,,,,,,,,,,,,
Dry Eye,Common,0,100,both,Irritation,redness,itching,burning sensation,foreign body sensation,blurred vision,Sensitivity to light (photophobia),,,,,,,,,,,,,,,,,,
Dry Nose,Common,0,100,both,Dryness,irritation,crusting,nosebleeds,congestion,reduced sense of smell,soreness,,,,,,,,,,,,,,,,,,
Dry Skin,Common,0,100,both,Itchiness,flakiness,roughness,cracks,redness,irritation,scaling,tightness,,,,,,,,,,,,,,,,,
Duchenne Muscular Dystrophy,Rare,0,30,male,Muscle weakness,delayed motor milestones,difficulty walking,frequent falls,enlarged calves,progressive muscle wasting,scoliosis,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ductal Carcinoma In Situ Of Breast,Common,30,70,female,Breast lump,breast pain,nipple discharge,changes in breast appearance or shape,,,,,,,,,,,,,,,,,,,,,
Dumping Syndrome,Rare,20,70,both,Nausea,vomiting,diarrhea,Abdominal cramping,sweating,weakness,dizziness,,,,,,,,,,,,,,,,,,
Duodenal Ulcer,Common,20,80,both,Abdominal Pain,bloating,nausea,vomiting,heartburn,indigestion,loss of appetite,weight loss,,,,,,,,,,,,,,,,,
Duodenal Ulcer Due To H. Pylori,Common,20,80,both,Abdominal Pain,bloating,nausea,vomiting,heartburn,indigestion,loss of appetite,weight loss,symptoms may worsen on an empty stomach or at night,,,,,,,,,,,,,,,,
Dupuytren's Contracture,Uncommon,40,90,male,Thickening and puckering of the skin on the palm,one or more fingers bent towards the palm,difficulty straightening the fingers,,,,,,,,,,,,,,,,,,,,,,
Dyschromia,Common,0,100,both,Skin discoloration,dark patches,uneven skin tone,hyperpigmentation,hypopigmentation,,,,,,,,,,,,,,,,,,,,
Dysmenorrhea,Common,10,50,female,Pelvic pain,Abdominal cramping,lower back pain,headache,nausea,vomiting,diarrhea,fatigue,mood swings,,,,,,,,,,,,,,,,
"Dyspareunia Due To Menopause,Associated Vulvovaginal Atrophy",Common,40,80,female,Pain during sexual intercourse,vaginal dryness,burning,itching,irritation,unusual urinary urgency and frequency,,,,,,,,,,,,,,,,,,,
Dyspepsia,Common,0,100,both,Upper Abdominal Pain,bloating,belching,nausea,vomiting,early satiety,,,,,,,,,,,,,,,,,,,
Dyspepsia Prevention,Uncommon,0,100,both,Lifestyle changes,dietary modifications,stress management,avoiding triggers such as spicy foods or alcohol,,,,,,,,,,,,,,,,,,,,,
Dystrophic Epidermolysis Bullosa,Rare,0,100,both,Blistering and skin erosions,scarring,thickened skin,nail dystrophy,joint contractures,,Constipation,Diarrhea,,,,,,,,,,,,,,,,,
Dysuria,Common,0,100,both,Pain or burning during urination,frequent urination,urgency,blood in urine,,,,,,,,,,,,,,,,,,,,,
E. Coli Appendicitis,Rare,10,60,both,Abdominal Pain,nausea,vomiting,fever,loss of appetite,,,,,,,,,,,,,,,,,,,,
E. Coli Bronchitis,Rare,20,80,both,Coughing,chest discomfort,shortness of breath,fever,fatigue,coughing up mucus,coughing up mucus,,,,,,,,,,,,,,,,,,
E. Coli Cervicitis,Rare,20,50,female,Inflammation of the cervix,vaginal discharge,pelvic pain,pain during intercourse,bleeding between periods or after intercourse,,,,,,,,,,,,,,,,,,,,
E. Coli Complicated Appendicitis,Rare,10,60,both,Abdominal Pain,fever,nausea,vomiting,loss of appetite,Constipation,Diarrhea,,,,,,,,,,,,,,,,,,
E. Coli Cystitis,Common,20,70,female,unusual urinary urgency and frequency,,burning sensation during urination,blood in urine,pelvic discomfort,,,,,,,,,,,,,,,,,,,,
E. Coli Endometritis,Rare,20,50,female,Pelvic pain,abnormal vaginal bleeding,fever,"foul,smelling vaginal discharge",,,,,,,,,,,,,,,,,,,,,
E. Coli Genitourinary Tract Infection,Uncommon,20,70,both,unusual urinary urgency and frequency,pelvic pain,blood in urine,,,,,,,,,,,,,,,,,,,,,,
E. Coli Gynecological Infections,Rare,20,50,female,Vaginal discharge,pelvic pain,burning or discomfort during urination,urinary urgency,,,,,,,,,,,,,,,,,,,,,
E. Coli Infection,Common,0,100,both,Fever,Abdominal Pain,nausea,vomiting,diarrhea,septicemia or septic shock,,,,,,,,,,,,,,,,,,,
E. Coli Joint Infection,Rare,20,70,both,Joint pain,swelling,redness,warmth,decreased range of motion,fever,,,,,,,,,,,,,,,,,,,
E. Coli Lung Abscess,Rare,20,70,both,Coughing,chest pain,difficulty breathing,fever,coughing up blood,coughing up mucus,,,,,,,,,,,,,,,,,,,
E. Coli Osteomyelitis,Rare,20,70,both,Bone pain,swelling,redness,warmth,fever,chills,fatigue,,,,,,,,,,,,,,,,,,
E. Coli Pelvic Cellulitis,Rare,20,60,female,Pelvic pain,tenderness,redness,swelling,fever,chills,,,,,,,,,,,,,,,,,,,
E. Coli Pelvic Inflammatory Disease,Rare,20,50,female,Pelvic pain,abnormal vaginal discharge,fever,painful urination,irregular menstrual bleeding,,,,,,,,,,,,,,,,,,,,
E. Coli Peritonitis,Rare,20,70,both,Abdominal Pain,fever,nausea,vomiting,loss of appetite,abdominal distension,Constipation,Diarrhea,,,,,,,,,,,,,,,,,
E. Coli Prostatitis,Rare,20,70,male,Abdominal Pain,tenderness,fever,nausea,vomiting,bloating,diarrhea,decreased urine output,,,,,,,,,,,,,,,,,
E. Coli Pyelonephritis,Common,20,70,both,testicular pain or discomfort,lower abdomen,or lower back,painful or difficult urination,frequent urination,blood in urine,fever,chills,,,,,,,,,,,,,,,,,
E. Coli Septic Abortion,Rare,20,50,female,Flank pain,fever,chills,nausea,vomiting,blood in urine,frequent urination,urgency,,,,,,,,,,,,,,,,,
E. Coli Septic Arthritis,Rare,20,70,both,Vaginal bleeding,Abdominal Pain,cramping,fever,chills,"foul,smelling vaginal discharge",,,,,,,,,,,,,,,,,,,
E. Coli Septicemia,Common,20,70,both,Joint pain,swelling,redness,warmth,decreased range of motion,fever,,,,,,,,,,,,,,,,,,,
E. Coli Urinary Tract Infection,Common,20,70,both,Fever,chills,rapid breathing,rapid heart rate,confusion,low blood pressure,nausea,vomiting,diarrhea,Abdominal Pain,,,,,,,,,,,,,,,
Early Breast Cancer Hormone Receptor Positive And Postmenopausal,Common,50,80,female,Varies depending on the stage and subtype of breast cancer; may include breast lump,changes in breast size or shape,nipple changes,breast pain,skin changes,lymph node enlargement,,,,,,,,,,,,,,,,,,,
"Early,Stage Triple,Negative Breast Cancer",Rare,30,70,female,Breast lump,changes in breast size or shape,nipple changes,breast pain,skin changes,lymph node enlargement,,,,,,,,,,,,,,,,,,,
"Eaton,Lambert Syndrome",Rare,20,80,both,Muscle weakness,difficulty walking,muscle stiffness,difficulty swallowing,Drooping eyelid(s),,,,,,,,,,,,,,,,,,,,
Echinococcus Granulosus Infection,Rare,20,70,both,Abdominal Pain,nausea,vomiting,abdominal swelling,fever,allergic reactions,anaphylaxis,,,,,,,,,,,,,,,,,,
Echinococcus Granulosus Infection Of The Liver,Rare,20,70,male,Abdominal Pain,Yellowing of the skin and eyes (jaundice),nausea,vomiting,abdominal swelling,fever,allergic reactions,anaphylaxis,,,,,,,,,,,,,,,,,
Echinococcus Granulosus Infection Of The Lung,Rare,20,70,both,Coughing,chest pain,difficulty breathing,coughing up blood,fever,allergic reactions,anaphylaxis,,,,,,,,,,,,,,,,,,
Echinococcus Granulosus Infection Of The Peritoneum,Rare,20,50,female,Abdominal Pain,distension,discomfort,nausea,vomiting,fever,allergic reactions,anaphylaxis,,,,,,,,,,,,,,,,,
Eclampsia Of Pregnancy,Uncommon,20,70,both,High blood pressure,seizures,Headache,vision changes,Abdominal Pain,swelling,rapid weight gain,,,,,,,,,,,,,,,,,,
Ecthyma,Rare,20,70,both,Skin lesions,ulcers,scabs,pain,itching,fever,swollen lymph nodes,,,,,,,,,,,,,,,,,,
Ecthyma Gangrenosum,Rare,20,70,both,Red or purple skin lesions,which progress to ulcers with a black center,fever,pain,swelling,,,,,,,,,,,,,,,,,,,,
Ectopic Acth Syndrome,Rare,50,80,female,High cortisol levels leading to symptoms such as weight gain,high blood pressure,muscle weakness,mood changes,purple stretch marks,glucose intolerance,,,,,,,,,,,,,,,,,,,
Ectopic Atrial Tachycardia,Rare,30,70,female,Rapid heart rate,palpitations,chest discomfort,shortness of breath,dizziness,fainting,,,,,,,,,,,,,,,,,,,
Ectopic Pregnancy,Uncommon,20,80,both,Abdominal Pain,vaginal bleeding,shoulder pain,fainting,dizziness,pelvic pain,,,,,,,,,,,,,,,,,,,
Eczema,Common,0,100,both,Itchy,red,inflamed skin,rash,dryness,flaking,cracking,weeping or crusting,skin thickening,,,,,,,,,,,,,,,,
Edema,Common,0,100,both,Swelling,puffiness,fluid retention,weight gain,stretched or shiny skin,,,,,,,,,,,,,,,,,,,,
Edema Due To Chronic Venous Insufficiency,Common,30,80,both,Swelling,particularly in the legs and ankles,aching or heaviness in the legs,skin discoloration,ulcers,,,,,,,,,,,,,,,,,,,,
Edema Due To Hepatic Cirrhosis,Common,40,70,both,Swelling,particularly in the legs and abdomen,fatigue,weakness,Yellowing of the skin and eyes (jaundice),ascites,,,,,,,,,,,,,,,,,,,
Edema Due To Nephrotic Syndrome,Common,0,100,both,Swelling,particularly around the eyes,feet,and ankles,foamy urine,weight gain,fatigue,loss of appetite,,,,,,,,,,,,,,,,,
"Egfr Negative, Alk Negative, Non,Small Cell Lung Cancer",Common,40,80,both,Coughing,coughing up blood,shortness of breath,chest pain,hoarseness,fatigue,weight loss,,,,,,,,,,,,,,,,,,
"Egfr T790m Mutation,Positive Non,Small Cell Lung Cancer",Common,40,80,both,Coughing,coughing up blood,shortness of breath,chest pain,hoarseness,fatigue,weight loss,,,,,,,,,,,,,,,,,,
"Egfr,Negative, Alk,Negative, Ros1,Negative Non,Small Cell Lung Cancer",Uncommon,40,80,both,Coughing,coughing up blood,shortness of breath,chest pain,hoarseness,fatigue,weight loss,,,,,,,,,,,,,,,,,,
Ehrlichiosis,Uncommon,5,60,both,Fever,headache,fatigue,muscle aches,nausea,vomiting,rash,confusion,,,,,,,,,,,,,,,,,
Emergency Treatment Of Capecitabine Overdose,Very rare,18,100,both,Nausea,vomiting,diarrhea,stomach pain,headache,dizziness,weakness,confusion,,,,,,,,,,,,,,,,,
Emergency Treatment Of Fluorouracil Overdose,Very rare,18,100,both,Nausea,vomiting,diarrhea,stomach pain,headache,dizziness,weakness,confusion,,,,,,,,,,,,,,,,,
Emergency Treatment Of Severe Capecitabine Toxicity,Very rare,18,100,both,Nausea,vomiting,diarrhea,stomach pain,headache,dizziness,weakness,confusion,,,,,,,,,,,,,,,,,
Emergency Treatment Of Severe Fluorouracil Toxicity,Very rare,18,100,both,Nausea,vomiting,diarrhea,stomach pain,headache,dizziness,weakness,confusion,,,,,,,,,,,,,,,,,
Encephalitis Due To Toxoplasmosis,Rare,0,100,both,Fever,headache,confusion,seizures,blurred vision,muscle weakness,poor coordination,,,,,,,,,,,,,,,,,,
Endogenous Estrogen Production Test,Very rare,18,100,both,Varied depending on the method of testing,may include blood tests,urine tests,or imaging studies,,,,,,,,,,,,,,,,,,,,,
Endometrial Ablation Adjunct,Uncommon,18,100,female,Pain or discomfort during the procedure,cramping,spotting or bleeding,nausea,vomiting,,,,,,,,,,,,,,,,,,,,
Endometrial Carcinoma,Common,40,80,female,Abnormal vaginal bleeding,pelvic pain,pain during intercourse,weight loss,fatigue,,,,,,,,,,,,,,,,,,,,
Endometrial Hyperplasia Prevention,Common,35,65,female,Irregular menstrual periods,abnormal vaginal bleeding,pelvic pain,pain during intercourse,,,,,,,,,,,,,,,,,,,,,
Endometriosis,Common,15,50,female,Pelvic pain,excessive menstrual bleeding,infertility,painful periods,pain during intercourse,,,,,,,,,,,,,,,,,,,,
Endometritis,Common,18,100,female,Pelvic pain,fever,abnormal vaginal bleeding,"foul,smelling vaginal discharge",painful urination,,,,,,,,,,,,,,,,,,,,
Enteric Campylobacteriosis,Uncommon,0,100,both,Diarrhea,Abdominal Pain,fever,nausea,vomiting,muscle pain,fatigue,,,,,,,,,,,,,,,,,,
Enterobacter Cloacae Bronchitis,Rare,0,100,both,Coughing,chest pain,difficulty breathing,fever,chills,fatigue,,,,,,,,,,,,,,,,,,,
Enterobacter Cloacae Urinary Tract Infection,Rare,0,100,both,Urinary urgency,,burning sensation during urination,blood in urine,pelvic pain,,,,,,,,,,,,,,,,,,,,
Enterobacter Complicated Uti,Rare,0,100,both,Fever,chills,back pain,nausea,vomiting,,,,,,,,,,,,,,,,,,,,
Enterobacter Cystitis,Rare,0,100,both,Urinary urgency,,burning sensation during urination,blood in urine,pelvic pain,,,,,,,,,,,,,,,,,,,,
Enterobacter Endometritis,Rare,18,100,female,Pelvic pain,fever,abnormal vaginal bleeding,"foul,smelling vaginal discharge",painful urination,,,,,,,,,,,,,,,,,,,,
Enterobacter Infection,Common,0,100,both,Fever,chills,nausea,vomiting,diarrhea,Abdominal Pain,,,,,,,,,,,,,,,,,,,
Enterobacter Joint Infection,Rare,0,100,both,Joint pain,swelling,redness,warmth,decreased range of motion,fever,,,,,,,,,,,,,,,,,,,
Enterobacter Meningitis,Rare,0,100,both,Fever,headache,neck stiffness,altered mental status,nausea,vomiting,Sensitivity to light (photophobia),,,,,,,,,,,,,,,,,,
Enterobacter Osteomyelitis,Rare,0,100,both,Bone pain,swelling,redness,warmth,fever,chills,fatigue,,,,,,,,,,,,,,,,,,
Enterobacter Pelvic Inflammatory Disease,Rare,15,50,female,Abdominal Pain,tenderness,fever,nausea,vomiting,bloating,diarrhea,decreased urine output,,,,,,,,,,,,,,,,,
Enterobacter Peritonitis,Rare,0,100,both,Coughing,chest pain,difficulty breathing,fever,chills,fatigue,,,,,,,,,,,,,,,,,,,
Enterobacter Pneumonia,Rare,0,100,both,testicular pain or discomfort,lower abdomen,or lower back,painful or difficult urination,frequent urination,blood in urine,fever,chills,,,,,,,,,,,,,,,,,
Enterobacter Prostatitis,Rare,18,100,male,Itching around the anus,especially at night,irritability,difficulty sleeping,rash or redness around the anus,,,,,,,,,,,,,,,,,,,,
Enterobiasis,Common,0,100,both,Fever,fatigue,weakness,shortness of breath,chest pain,palpitations,changes in heart rhythm,,,,,,,,,,,,,,,,,,
Enterococcal Endocarditis,Rare,30,80,both,Fever,chills,back pain,nausea,vomiting,,,,,,,,,,,,,,,,,,,,
Enterococcus Complicated Uti,Rare,0,100,both,Fever,chills,back pain,nausea,vomiting,,,,,,,,,,,,,,,,,,,,
Enterococcus Endometritis,Rare,18,100,female,Pelvic pain,fever,abnormal vaginal bleeding,"foul,smelling vaginal discharge",painful urination,,,,,,,,,,,,,,,,,,,,
Enterococcus Faecalis Urinary Tract Infection,Uncommon,0,100,both,Urinary urgency,,burning sensation during urination,blood in urine,pelvic pain,,,,,,,,,,,,,,,,,,,,
Enterococcus Genitourinary Tract Infection,Uncommon,0,100,both,Symptoms depend on the site of infection,may include urinary symptoms,pelvic pain,discharge,and discomfort,,,,,,,,,,,,,,,,,,,,
Enterococcus Joint Infection,Rare,0,100,both,Joint pain,swelling,redness,warmth,decreased range of motion,fever,,,,,,,,,,,,,,,,,,,
Enterococcus Osteomyelitis,Rare,0,100,both,Bone pain,swelling,redness,warmth,fever,chills,fatigue,,,,,,,,,,,,,,,,,,
Enterococcus Pelvic Cellulitis,Rare,18,60,female,Redness,warmth,swelling,and tenderness in the pelvic area,fever,chills,nausea,vomiting,,,,,,,,,,,,,,,,,
Enterococcus Pelvic Inflammatory Disease,Rare,15,50,female,Pelvic pain,abnormal vaginal discharge,fever,painful urination,irregular menstrual bleeding,,,,,,,,,,,,,,,,,,,,
Enterococcus Peritonitis,Rare,0,100,both,Abdominal Pain,tenderness,fever,nausea,vomiting,bloating,diarrhea,decreased urine output,,,,,,,,,,,,,,,,,
Enterococcus Prostatitis,Rare,18,100,male,testicular pain or discomfort,lower abdomen,or lower back,painful or difficult urination,frequent urination,blood in urine,fever,chills,,,,,,,,,,,,,,,,,
Enterococcus Septicemia,Rare,0,100,both,Fever,chills,rapid breathing,rapid heart rate,confusion,low blood pressure,nausea,vomiting,diarrhea,,,,,,,,,,,,,,,,
Enterococcus Urinary Tract Infection,Uncommon,0,100,both,Urinary urgency,,burning sensation during urination,blood in urine,pelvic pain,,,,,,,,,,,,,,,,,,,,
Enterocolitis,Common,0,100,both,Abdominal Pain,diarrhea,nausea,vomiting,fever,blood in stool,dehydration,weight loss,fatigue,,,,,,,,,,,,,,,,
"Enthesitis,Related Juvenile Idiopathic Arthritis",Rare,0,18,both,Joint pain,swelling,stiffness,tenderness,reduced range of motion,morning stiffness,fever,eye inflammation (uveitis),,,,,,,,,,,,,,,,,
Envenomation By Black Widow Spider,Very rare,0,100,both,Severe muscle cramps and spasms,Abdominal pain,sweating,headache,hypertension or hypotension,weakness,difficulty breathing,,,,,,,,,,,,,,,,,,
Envenomation By Coral Snake (Micrurus Fulvius),Very rare,0,100,both,Blurred vision,difficulty swallowing,slurred speech,muscle weakness,paralysis,respiratory distress,dizziness,sweating,,,,,,,,,,,,,,,,,
Envenomation By Pit Viper Snake (Crotalidae),Very rare,0,100,both,Severe pain at the site of the bite,Bruising,bleeding or oozing from the fang marks,Nausea,dizziness,weakness,rapid heartbeat,low blood pressure,blurred vision,Vomiting,,,,,,,,,,,,,,,
Eosinophilic Asthma,Uncommon,0,100,both,Wheezing,shortness of breath,coughing,chest tightness or pain,fatigue,trouble sleeping due to coughing or wheezing,mucus production,exacerbations triggered by allergens or irritants,,,,,,,,,,,,,,,,,
Eosinophilic Esophagitis,Rare,0,100,both,Difficulty swallowing,food impaction,chest pain,heartburn,nausea,vomiting,Abdominal Pain,regurgitation,loss of appetite,weight loss,throat pain,hoarseness,Coughing,difficulty sleeping,,,,,,,,,,,
Eosinophilic Granulomatosis With Polyangiitis,Rare,20,70,both,Sinusitis,asthma,fatigue,weight loss,fever,night sweats,joint pain,muscle pain,Rash,numbness or tingling in extremities,vision changes,hearing loss,nasal congestion,bloody nasal discharge,coughing up blood,shortness of breath,chest pain,nerve pain,gastrointestinal bleeding,kidney problems,neuropathy,sinus pain or pressure,purpura,,
Epicondylitis,Common,18,80,both,Elbow pain,forearm pain,weakened grip strength,pain with gripping or lifting,swelling around the elbow,stiffness,difficulty extending the forearm,tenderness,warmth,,,,,,,,,,,,,,,,
